Atom_ID,E_Vac_Cell,E_f_vac_Zn
14414,-720035.440960004,0.43380000398732743
14117,-720035.335339861,0.32817986098356566
14123,-720035.460230417,0.4530704169604557
14420,-720035.791607486,0.7844474859606104
14426,-720035.179094556,0.17193455601349494
14387,-720035.578172996,0.5710129960510509
14391,-720035.840158904,0.8329989039642366
14706,-720035.437841147,0.43068114694446347
14707,-720035.522743984,0.5155839840020614
14713,-720035.591549861,0.5843898610049488
14403,-720035.32481788,0.3176578800497206
14405,-720035.347515232,0.34035523203905693
14406,-720035.429459881,0.42229988103039584
14718,-720035.721230151,0.714070151008256
14719,-720035.449638954,0.44247895400743953
14724,-720035.748427978,0.7412679780112209
14725,-720035.32821753,0.3210575300339239
14411,-720035.646735218,0.6395752179972457
14412,-720035.619608204,0.6124482039898264
14415,-720035.897979661,0.8908196610003339
14416,-720035.729560699,0.7224006989575552
14417,-720035.627887955,0.620727955044769
14421,-720035.832984197,0.8258241969463976
14422,-720035.553880813,0.5467208129424231
14429,-720035.314738465,0.3075784650003167
14433,-720035.363588019,0.3564280190342667
14434,-720035.254374442,0.2472144420329111
14748,-720035.478792155,0.4716321550380068
8298,-720035.601999466,0.5948394659511375
14696,-720035.405779703,0.3986197030474993
14703,-720035.589437045,0.5822770450334626
15027,-720035.650993124,0.643833123992719
15028,-720035.709484072,0.7023240720457958
8304,-720035.705094833,0.6979348330363261
14704,-720035.475019279,0.46785927904542557
14708,-720035.490610362,0.4834503620234879
14709,-720035.700905737,0.693745736994371
15045,-720035.549547711,0.5423877110309528
15046,-720035.649609885,0.6424498849385979
14722,-720035.202046975,0.19488697502069197
14723,-720035.54596679,0.5388067900506409
15051,-720035.411051823,0.4038918229356038
15058,-720035.224610203,0.217450202938691
8340,-720035.72478516,0.717625160033405
14736,-720035.330241139,0.32308113903977
14739,-720035.295236509,0.288076508936994
14740,-720035.299946383,0.2927863829839604
8346,-720035.397336667,0.39017666704725495
14750,-720035.682949202,0.6757892020117121
14751,-720035.593721055,0.5865610549529644
14752,-720035.42083312,0.41367311999905876
15081,-720035.589887233,0.5827272329782697
15087,-720035.800743765,0.7935837649577858
15019,-720035.545959399,0.5387993989582734
15356,-720035.59511897,0.5879589700210469
8625,-720035.581350737,0.5741907370114329
15025,-720035.633874488,0.6267144879396634
15029,-720035.436102443,0.4289424430183696
15030,-720035.707423063,0.7002630629879983
15362,-720035.463037073,0.4558770730230587
8637,-720035.449282826,0.4421228260337936
8643,-720035.705627245,0.6984672450065242
15048,-720036.00078723,0.9936272299686076
15385,-720035.463738978,0.4565789780184256
15386,-720035.508309172,0.5011491719936582
8649,-720035.524487429,0.5173274289421367
15049,-720035.454307886,0.44714788594987265
