Atom_ID,E_Vac_Cell,E_f_vac_Zn
14408,-720222.647870046,0.8388100459217654
14419,-720222.59990248,0.7908424799773471
14706,-720222.366277999,0.5572179989633711
7993,-720222.64963798,0.8405779799889402
14391,-720222.280707838,0.4716478379653396
14394,-720222.608019705,0.798959704998471
14398,-720222.594618918,0.7855589179765062
14399,-720222.321458028,0.512398027998917
8005,-720222.479249895,0.6701898949198054
14403,-720222.494379616,0.6853196159448104
14406,-720222.301813525,0.49275352498289215
14411,-720222.547869248,0.7388092479180174
14416,-720222.564305928,0.7552459279052542
14730,-720222.342311459,0.5332514589629697
8023,-720222.236657974,0.4275979739125447
14417,-720222.8816362,1.0725761999586227
14418,-720223.013003883,1.203943882903606
14421,-720222.751105259,0.9420452590077745
14430,-720222.376816718,0.5677567179757731
14742,-720223.11043669,1.3013766899915042
15022,-720222.369006392,0.5599463919154929
14696,-720222.533310365,0.7242503649998085
14709,-720222.37252149,0.563461489926614
15033,-720222.479675509,0.6706155089871587
15039,-720222.553001573,0.7439415729116278
15040,-720222.691936364,0.882876363999732
14711,-720222.460184613,0.6511246129614862
8322,-720222.477694012,0.668634011943415
14720,-720222.709775799,0.900715798905641
14721,-720222.599618983,0.7905589829409124
14722,-720222.869099059,1.0600390589773285
14723,-720222.580115454,0.7710554539901765
15045,-720222.826803318,1.0177433179435882
15057,-720222.834035831,1.0249758309894803
14737,-720222.857136643,1.0480766429775956
8334,-720222.618755861,0.8096958609042318
14728,-720222.562075622,0.7530156219821053
14729,-720222.608417929,0.7993579289853202
14738,-720222.672127858,0.8630678579887004
14739,-720222.805814089,0.9967540889722856
15063,-720222.98812971,1.1790697099152583
14741,-720222.957516834,1.14845683397498
8346,-720222.351784714,0.542724713983536
14745,-720222.819236011,1.0101760109630975
14746,-720222.354325896,0.5452658959641682
14747,-720222.829296659,1.0202366589313003
14753,-720222.447271669,0.63821166900225
15023,-720222.90128195,1.0922219498991597
15024,-720222.592961839,0.7839018390025573
15025,-720222.752827228,0.9437672279985251
15026,-720222.748152199,0.9390921989200266
15362,-720222.599625355,0.7905653549335526
15367,-720222.851435591,1.042375590952635
8637,-720222.771790958,0.9627309579612316
15032,-720222.566437185,0.7573771849950405
15037,-720222.754970726,0.9459107259265708
15042,-720223.093921408,1.2848614080087843
15379,-720222.72974133,0.920681329977289
8643,-720222.981939891,1.172879890955575
15044,-720222.739431694,0.9303716939851271
15048,-720222.596390908,0.7873309079534935
15391,-720222.589917387,0.7808573869499938
15397,-720222.926416818,1.1173568180041018
15058,-720222.885281673,1.076221673002057
15059,-720222.418315016,0.6092550159176441
15060,-720222.578624868,0.7695648679021375
15064,-720222.486758983,0.6776989829470964
15067,-720222.734958117,0.9258981169644372
15072,-720222.486803032,0.6777430319437386
15075,-720222.725370918,0.9163109180029111
8685,-720222.138147048,0.32908704790525156
15074,-720222.890425086,1.0813650859729949
15087,-720222.135528742,0.3264687419380622
15421,-720222.351229021,0.5421690209280329
15422,-720222.86352771,1.0544677099190283
8953,-720222.879825723,1.0707657229598242
15353,-720222.867314724,1.0582547239703688
8959,-720222.703318833,0.8942588329758124
15357,-720222.587093712,0.7780337118986623
15358,-720222.869872065,1.0608120649797472
15360,-720222.560254319,0.7511943189404534
15364,-720222.957733223,1.1486732229334864
15365,-720222.602476258,0.793416257898845
15366,-720222.86659479,1.0575347899669412
15711,-720222.461312602,0.6522526019928606
15380,-720222.889992159,1.080932158927955
8983,-720222.854072089,1.0450120889093357
15371,-720222.463348435,0.6542884349567445
15376,-720222.444304143,0.6352441429137813
15381,-720222.435546524,0.6264865239593761
15382,-720222.845990318,1.0369303179416436
15383,-720222.693487686,0.8844276859402286
15392,-720222.61409538,0.8050353798992561
8989,-720222.590994984,0.781934983979501
15390,-720222.540632546,0.7315725458996
15396,-720222.731069273,0.9220092729176955
15742,-720223.065830445,1.2567704449850696
15410,-720223.015289062,1.2062290620036054
15400,-720222.288837859,0.47977785900939274
15404,-720222.722414055,0.9133540549758451
15409,-720222.571430579,0.7623705788958447
9007,-720222.590591317,0.7815313169942798
15407,-720222.678587553,0.8695275529265033
15408,-720222.439164166,0.6301041659410672
15411,-720222.871089001,1.062029000904933
15748,-720222.945291599,1.1362315989775214
15753,-720223.105644656,1.2965846559475738
9013,-720222.813805202,1.0047452019737664
9019,-720222.927608131,1.1185481309169534
9025,-720222.680414995,0.871354994897321
15413,-720222.704830481,0.8957704809238763
15417,-720222.669959642,0.8608996419446172
15423,-720222.84840169,1.0393416899699348
15424,-720222.848609117,1.039549116927721
15426,-720222.490234965,0.6811749649444224
15695,-720222.886020817,1.07696081693057
15696,-720222.379317817,0.5702578169969471
15697,-720222.764198182,0.9551381819858776
9303,-720222.369889592,0.5608295920049401
15704,-720222.684247883,0.8751878829883041
15705,-720222.606363629,0.7973036289425196
15708,-720222.612933252,0.8038732519583406
15713,-720222.208265507,0.39920550696324575
16045,-720222.867413931,1.0583539308957386
15724,-720222.487526833,0.6784668329149114
15725,-720222.90973645,1.1006764498982209
15726,-720222.56782912,0.7587691199244561
15727,-720222.866737975,1.0576779749920222
16063,-720222.47958782,0.6705278199608998
16068,-720222.830755957,1.0216959570046145
16069,-720222.769171656,0.9601116559445487
16057,-720222.378704549,0.5696445489978047
15736,-720222.574136034,0.7650760339550303
15728,-720222.864253066,1.05519306596607
9339,-720222.774221701,0.9651617009169983
15733,-720222.482210282,0.6731502819550784
15735,-720222.358768526,0.5497085259506108
15743,-720222.651356743,0.8422967429017277
15744,-720222.94430454,1.1352445400064441
16074,-720223.220983327,1.4119233269687372
15747,-720222.839431197,1.0303711969848353
9345,-720223.194630194,1.3855701939412954
15745,-720222.876762405,1.0677024049894515
15749,-720222.848079889,1.0390198889165747
15750,-720223.210805844,1.4017458440014723
15752,-720223.200222667,1.3911626669089872
15755,-720223.293190579,1.4841305789980668
15756,-720222.827481491,1.0184214909771088
15757,-720222.652207243,0.8431472429750116
15758,-720222.651444131,0.8423841309943797
15765,-720222.525121635,0.7160616348940508
15767,-720222.452484172,0.643424171905555
15768,-720222.477913675,0.6688536749664323
15773,-720222.885067104,1.076007103964277
15774,-720222.922633508,1.1135735079390559
20815,-720222.616965317,0.8079053170024978
20821,-720222.602376355,0.793316354926266
20827,-720222.538443595,0.7293835950061308
27228,-720222.386664447,0.5776044469769673
20786,-720222.876350902,1.0672909019725028
21102,-720222.880886422,1.0718264219561222
21107,-720223.011154203,1.202094202928767
27509,-720222.971438427,1.1623784269416335
27189,-720223.006351661,1.1972916610050577
20798,-720222.653018257,0.8439582569501923
20799,-720222.5667255,0.7576654999959843
20801,-720222.456091504,0.6470315039135145
27195,-720222.701991876,0.8929318759567665
27527,-720222.262096148,0.4530361479358377
27515,-720223.056880748,1.2478207479674
20803,-720222.598177642,0.7891176419309901
20807,-720222.44535097,0.6362909699767457
20810,-720222.201705126,0.39264512592699397
20817,-720222.599757849,0.7906978489575537
27210,-720222.576811873,0.7677518729563432
21138,-720222.522119141,0.7130591409025343
20818,-720222.720705656,0.9116456559370832
20819,-720222.206288102,0.39722810191806424
20828,-720222.323416831,0.5143568309234084
20829,-720222.518245195,0.7091851949901881
21144,-720222.987211354,1.1781513539120185
21150,-720222.551985091,0.7429250908992814
21155,-720222.567506132,0.7584461319004746
27494,-720222.244748977,0.4356889769645037
21099,-720222.624863589,0.8158035889012368
21100,-720222.57906418,0.7700041799783336
21103,-720222.84787675,1.0388167500007528
21104,-720223.12476048,1.3157004799671101
21109,-720222.74157575,0.9325157500082256
21110,-720222.852713247,1.0436532468977946
21440,-720222.861642322,1.0525823219889405
27521,-720222.885181741,1.0761217409256476
