Atom_ID,E_Vac_Cell,E_f_vac_Zn
19372,-716265.996364516,0.8736045159423353
11825,-716265.475591057,0.35283105694927297
15677,-716265.515143907,0.39238390701595716
15682,-716265.326393579,0.20363357898551993
19547,-716265.553084805,0.4303248049947994
15680,-716265.731619704,0.6088597040181609
15683,-716265.600356741,0.4775967409625279
15681,-716265.695425088,0.5726650880207869
12003,-716265.965701659,0.8429416589462759
19378,-716265.838567836,0.7158078359463813
12004,-716265.850986326,0.7282263259660082
12005,-716265.629382896,0.506622895973325
15684,-716265.670309388,0.5475493879314142
15691,-716265.648766852,0.5260068519530448
19379,-716265.555612753,0.4328527529980617
19380,-716265.902610183,0.779850182964057
15848,-716265.520055653,0.39729565291438274
19537,-716265.939148015,0.8163880149624871
19727,-716265.831705475,0.7089454749622943
12166,-716265.627796863,0.5050368629419806
12167,-716265.519176152,0.3964161519217866
19543,-716265.555797637,0.43303763694368325
12358,-716265.623111842,0.5003518419364097
16047,-716265.758175959,0.6354159589647876
12172,-716265.375818911,0.2530589109776171
19548,-716265.47821732,0.35545732002012453
16053,-716265.463081695,0.3403216949920731
15867,-716265.636666419,0.5139064189536127
12184,-716265.744870531,0.6221105309925603
15873,-716265.859530375,0.7367703749589252
15865,-716265.841249953,0.7184899529931696
15866,-716265.606123674,0.4833636739315095
15868,-716265.885432793,0.7626727929129826
15872,-716265.786844997,0.6640849969373646
15875,-716266.116890954,0.994130953939222
19751,-716266.481812245,1.359052244948745
12190,-716265.717016791,0.594256790962592
15876,-716266.149764618,1.0270046179905163
15879,-716265.846495576,0.7237355759391191
19565,-716265.692780157,0.5700201569381731
19567,-716265.456121332,0.3333613319811972
12348,-716266.031875994,0.9091159940255436
16037,-716265.941372837,0.8186128370254862
12347,-716265.970699697,0.8479396970035138
16034,-716266.214285282,1.0915252819215508
16036,-716265.982803476,0.8600434760121258
19723,-716265.959241555,0.8364815549250322
19729,-716265.684163278,0.5614032779378446
19733,-716265.577896828,0.45513682791736
12359,-716265.867919112,0.7451591119426864
16042,-716265.70203676,0.5792767600180211
16045,-716266.058566277,0.935806277000867
16048,-716265.942773854,0.8200138539798187
16049,-716265.99614371,0.8733837099536883
19734,-716266.180951649,1.0581916489429402
19735,-716266.111101371,0.9883413709723952
12365,-716265.690029307,0.5672693070048096
12366,-716265.660280319,0.5375203190162408
16054,-716265.66489281,0.5421328100166845
16055,-716265.883218568,0.7604585680203142
16061,-716265.688445739,0.5656857389514895
19740,-716265.971947626,0.8491876259469988
12370,-716265.606667791,0.48390779099665604
16062,-716265.952236302,0.8294763019332292
16065,-716266.058269428,0.935509427941926
12566,-716265.861555382,0.7387953819963711
16060,-716265.690712438,0.5679524379340561
19753,-716266.333325546,1.2105655459710958
19757,-716266.000358757,0.877598756949939
12377,-716265.887370806,0.764610805923641
12384,-716265.826237002,0.7034770020074772
16063,-716265.845301576,0.7225415759278091
16066,-716266.132915897,1.0101558969147133
19752,-716266.162547533,1.0397875330201911
16074,-716265.224396519,0.10163651898276083
19912,-716265.60335661,0.4805966100213679
16423,-716265.824078477,0.7013184769568594
20115,-716265.604717827,0.4819578270218896
16231,-716265.633523983,0.5107639829186352
16230,-716265.539335941,0.4165759409336003
16232,-716265.528073889,0.4053138889396193
16429,-716265.935626755,0.8128667549719664
16432,-716266.47357464,1.350814639965594
16435,-716265.80147808,0.6787180799549075
20121,-716265.786526574,0.6637665740238132
16240,-716265.850634148,0.7278741479642319
16243,-716265.920485546,0.7977255459665882
12555,-716265.69332467,0.5705646699318292
16238,-716265.45687762,0.3341176199284943
16242,-716265.889066588,0.7663065879862385
19941,-716265.820595369,0.6978353689448538
19935,-716265.945296943,0.8225369429239633
12561,-716265.870557041,0.7477970409929382
12568,-716266.525433237,1.40267323693499
16247,-716265.785583625,0.6628236249345916
19937,-716265.585731672,0.4629716719757395
16447,-716265.803090575,0.6803305750038104
16255,-716265.969140477,0.8463804769819232
19947,-716265.831687049,0.7089270489779862
16253,-716265.707316586,0.5845565860183539
16254,-716265.935146159,0.8123861589958521
16453,-716266.029969673,0.9072096729907768
20145,-716266.070345015,0.9475850150012972
19953,-716265.771752506,0.6489925059979411
16259,-716265.616666709,0.4939067089255529
19954,-716265.62271647,0.49995647000852994
19955,-716265.687289938,0.5645299379504847
16431,-716265.87468368,0.7519236799819025
20110,-716265.962909011,0.840149011022933
16622,-716266.063041403,0.9402814029274138
20314,-716266.471642412,1.3488824119815233
16428,-716265.970063279,0.8473032790027188
16430,-716265.908832151,0.7860721509461852
16434,-716266.388786863,1.2660268629226463
16433,-716266.052332286,0.9295722859935465
16436,-716265.862933588,0.7401735879504683
16439,-716265.970488353,0.8477283530193942
16442,-716265.592984847,0.4702248469950261
20122,-716265.923773388,0.8010133879981565
16446,-716265.866778681,0.7440186810237917
16448,-716265.816899826,0.6941398260207476
16449,-716265.779128052,0.6563680519140886
16450,-716266.155055307,1.0322953069373595
16459,-716266.177573316,1.0548133160011472
16451,-716265.972273065,0.849513064979166
16452,-716266.148247057,1.0254870569590109
16454,-716266.353065083,1.2303050830052795
16458,-716266.006971319,0.8842113189423086
16461,-716266.325619192,1.2028591919481384
20141,-716266.016131136,0.8933711359534042
20147,-716266.451859682,1.3290996819525587
16462,-716265.810424783,0.6876647830033304
20151,-716265.742685242,0.6199252419430392
16457,-716265.847101884,0.7243418839318307
16460,-716266.342058329,1.2192983289971577
16463,-716265.730495954,0.6077359540179001
16464,-716265.670204083,0.5474440829386564
16467,-716265.946265423,0.8235054229409995
20146,-716266.24147826,1.118718259993531
23055,-716265.619290524,0.49653052401501707
23058,-716265.74016627,0.6174062700267511
23061,-716265.996794087,0.8740340869664776
19203,-716265.56852712,0.44576712001819185
22888,-716265.689544811,0.5667848109989988
23067,-716266.127409185,1.0046491850191357
23070,-716266.101358818,0.9785988179757821
26756,-716265.712097179,0.5893371789972859
23233,-716265.822459533,0.6996995329647886
23053,-716265.897599407,0.7748394069751354
23054,-716265.585526449,0.46276644899282626
23060,-716266.109789996,0.9870299959113451
23239,-716266.048719689,0.925959688986242
26739,-716266.06951014,0.9467501399596783
26740,-716265.900469102,0.7777091019345077
19375,-716265.833069868,0.7103098680056261
19370,-716266.077727925,0.9549679250014576
19377,-716265.570565005,0.44780500491853825
23056,-716265.968455787,0.8456957870186868
23057,-716266.11891697,0.9961569699482622
23059,-716265.75895229,0.6361922900216284
26755,-716265.57039467,0.447634669977762
26762,-716265.836222803,0.7134628029564025
26759,-716265.811839148,0.6890791480220484
19376,-716265.906671258,0.7839112580079215
19382,-716265.681697895,0.5589378950209918
23062,-716265.438145725,0.31538572502560935
23069,-716265.932911925,0.810151924986914
23071,-716266.079313007,0.9565530069196226
26757,-716266.061194444,0.9384344439278918
26760,-716265.950307769,0.8275477689714732
26761,-716265.890592953,0.7678329529264571
19540,-716265.838362515,0.7156025149417671
23226,-716266.22137604,1.0986160399881753
26918,-716265.447333489,0.32457348893169335
19544,-716265.639733536,0.5169735360215979
